,name,Calc,Smiles,path_l_geom,path_l_freq,notes
74,TS_trihydroxy_hydroperoxy_propane_oxyl_frag,TS_trihydroxy_hydroperoxy_propane_oxyl_frag,OC(O)C(O)(OO)C([O])++->OC(O)C(O)=O.[OH].C=O+++,/TS_trihydroxy_hydroperoxy_propane_oxyl_frag,/TS_trihydroxy_hydroperoxy_propane_oxyl_frag, 
76,TS_glyoxylic_acid_rad_O2_add,TS_glyoxylic_acid_rad_O2_add,O[C](O)C(O)=O+[O][O]+->OC(O[O])(O)C(O)=O+++,/TS_glyoxylic_acid_rad_O2_add,/TS_glyoxylic_acid_rad_O2_add, 
77,TS_glyoxylic_acid_peroxyl_OOH_elim,TS_glyoxylic_acid_peroxyl_OOH_elim,OC(O[O])(O)C(O)=O++->OC(=O)C(O)=O+[O][OH]++,/TS_glyoxylic_acid_peroxyl_OOH_elim,/TS_glyoxylic_acid_peroxyl_OOH_elim, 
79,TS_O2 add to dihydroxy methyl radical,TS_O2 add to dihydroxy methyl radical,[CH](O)O+[O][O]+->C(O)(O)O[O]+++,/TS_O2 add to dihydroxy methyl radical,/TS_O2 add to dihydroxy methyl radical,not converged
80,TS_OOH elim dihydroxyl methy peroxyl rad,TS_OOH elim dihydroxyl methy peroxyl rad,C(O)(O)O[O]++->C(O)=O+[O][OH]++,/TS_OOH elim dihydroxyl methy peroxyl rad,/TS_OOH elim dihydroxyl methy peroxyl rad, 
81,TS_pentenal_hydrate_O2m_add_14_no_H2O,TS_pentenal_hydrate_O2m_add_14_no_H2O,OCC(=O)/C=C\C(O)O+[O][O-]+->OC/C([O-])=C\C(O[O])C(O)O+++,/TS_pentenal_hydrate_O2m_add_14_no_H2O,/TS_pentenal_hydrate_O2m_add_14_no_H2O, 
89,TS_glyoxylic_OH_HT_formaldehyde_complex,TS_glyoxylic_OH_HT_formaldehyde,OC(O)C(O)=O.[OH].C=O++->O[C](O)C(O)=O+O+C=O+,/TS_glyoxylic_OH_HT_formaldehyde_complex,/TS_glyoxylic_OH_HT_formaldehyde,
90,TS_pT_pentanoxy,TS_pT_pentanoxy,OC/C([O-])=C\C(O[O])C(O)O+O.[OH3+]+->OCC(=O)CC(O[O])C(O)O+O.O++,/TS_pT_pentanoxy,/TS_pT_pentanoxy,
93,TS_pentanoxyl_frag,TS_pentanoxyl_frag,OC(O)C(O)(OO)CC([O])C(O)O++->OC(O)C(O)(OO)CC(=O)+[CH](O)O++,/TS_pentanoxyl_frag,/TS_pentanoxyl_frag,
98,TS_pT_pentanoxy2_no_H2O,TS_pT_pentanoxy2_no_H2O,OC(O)C([O-])(O[O])CC(OO)C(O)O+O.[OH3+]+->OC(O)C(O)(O[O])CC(OO)C(O)O+O.O++,/TS_pT_pentanoxy2_no_H2O,/TS_pT_pentanoxy2_no_H2O,
99,TS_O2m_add_pentanone,TS_O2m_add_pentanone,OC(O)C(=O)CC(OO)C(O)O+[O][O-]+->OC(O)C([O-])(O[O])CC(OO)C(O)O+++,/TS_O2m_add_pentanone,/TS_O2m_add_pentanone,
100,TS_O2m_add_butanal,TS_O2m_add_butanal,OC(O)C(O)(OO)CC(=O)+[O][O-]+->OC(O)C(O)(OO)CC([O-])(O[O])+++,/TS_O2m_add_butanal,/TS_O2m_add_butanal,
101,TS_O2m_adduct_butanal_pT,TS_O2m_adduct_butanal_pT,OC(O)C(O)(OO)CC([O-])(O[O])+O.[OH3+]+->OC(O)C(O)(OO)CC(O[O])O+O.O++,/TS_O2m_adduct_butanal_pT,/TS_O2m_adduct_butanal_pT,
