name,Calc,Smiles,path_l_geom,path_l_freq,notes
TS_glyoxal hydrate placeholder,glyoxal hydrate placeholder,C(=O)C=O+O+O->OC(O)C(O)O+++,/TS_glyoxal hydrate placeholder,/glyoxal hydrate placeholder,
TS_pentenal hydrate placeholder,pentenal hydrate placeholder,OCC(=O)/C=C\C=O+O+->OCC(=O)/C=C\C(O)O+++,/TS_pentenal hydrate placeholder,/pentenal hydrate placeholder,
TS_BA_ortho_OH_O2_adduct_cycle_O2_add2,TS_BA_ortho_OH_O2_adduct_cycle_O2_add2,C1[CH]C(OO2)C(O)C2(CO)C=1+[O][O]+->C1=CC(OO2)C(O)C2(CO)C(O[O])1+++,/TS_BA_ortho_OH_O2_adduct_cycle_O2_add2,/TS_BA_ortho_OH_O2_adduct_cycle_O2_add2,
TS_benzyl_alcohol_HT,TS_benzyl_alcohol_HT,c1c(CO)cccc1+[OH]+->c1c([CH]O)cccc1+O++,/TS_benzyl_alcohol_HT,/TS_benzyl_alcohol_HT,
TS_benzyl_alcohol_rad_O2_add,TS_benzyl_alcohol_rad_O2_add,c1c([CH]O)cccc1+[O][O]+->c1c(C(O[O])O)cccc1+++,/TS_benzyl_alcohol_rad_O2_add,/TS_benzyl_alcohol_rad_O2_add,placeholder_TS_not_found
TS_benzyl_alcohol_OH_add_C1,TS_benzyl_alcohol_OH_add_C1,c1c(CO)cccc1+[OH]+->C1C(O)(CO)[CH]C=CC=1+++,/TS_benzyl_alcohol_OH_add_C1,/TS_benzyl_alcohol_OH_add_C1,
TS_ipso_adduct_O2_add,TS_ipso_adduct_O2_add,C1C(O)(CO)[CH]C=CC=1+[O][O]+->C1C(O)(CO)[C@@H](O[O])C=CC=1+++,/TS_ipso_adduct_O2_add,/TS_ipso_adduct_O2_add,
TS_phenol_form,TS_phenol_form,C1C(O)(CO)[CH]C=CC=1++->c1c(O)cccc1+[CH2]O++,/TS_phenol_form,/TS_phenol_form,
TS_benzyl_alcohol_OH_add_C4,TS_benzyl_alcohol_OH_add_C4,c1c(CO)cccc1+[OH]+->C1=C(CO)C=CC(O)[CH]1+++,/TS_benzyl_alcohol_OH_add_C4,/TS_benzyl_alcohol_OH_add_C4,
TS_para_adduct_O2_add,TS_para_adduct_O2_add,C1=C(CO)C=CC(O)[CH]1+[O][O]+->C1=C(CO)C=CC(O)C(O[O])1+++,/TS_para_adduct_O2_add,/TS_para_adduct_O2_add,
TS_benzene_OH_adduct_O2_HT,TS_benzene_OH_adduct_O2_HT,C1(O)C=CC=C[CH]1+[O][O]+->c1c(O)cccc1+[O][OH]++,/TS_benzene_OH_adduct_O2_HT,/TS_benzene_OH_adduct_O2_HT,
TS_benzene_OH_adduct_O2_add_anti,TS_benzene_OH_adduct_O2_add_anti,C1(O)C=CC=C[CH]1+[O][O]+->[C@H]1(O)C=CC=C[C@H](O[O])1+++,/TS_benzene_OH_adduct_O2_add_anti,/TS_benzene_OH_adduct_O2_add_anti,
TS_meta_adduct_sub_anti,TS_meta_adduct_sub_anti,C1[CH]C(O)C=C(CO)C=1+[O][O]+->c1c(O)cc(CO)cc1+[O][OH]++,/TS_meta_adduct_sub_anti,/TS_meta_adduct_sub_anti,
TS_meta_adduct_O2_add_anti,TS_meta_adduct_O2_add_anti,C1[CH]C(O)C=C(CO)C=1+[O][O]+->C1C(O[O])C(O)C=C(CO)C=1+++,/TS_meta_adduct_O2_add_anti,/TS_meta_adduct_O2_add_anti,
TS_para_adduct_sub,TS_para_adduct_sub,C1=C(CO)C=CC(O)[CH]1+[O][O]+->c1c(O)ccc(CO)c1+[O][OH]++,/TS_para_adduct_sub,/TS_para_adduct_sub,
TS_OH_add_ortho,TS_OH_add_ortho,c1c(CO)cccc1+[OH]+->C1=C[CH]C(O)C(CO)=C1+++,/TS_OH_add_ortho,/TS_OH_add_ortho,
TS_OH_add_meta,TS_OH_add_meta,c1c(CO)cccc1+[OH]+->C1[CH]C(O)C=C(CO)C=1+++,/TS_OH_add_meta,/TS_OH_add_meta,
TS_ortho_adduct_sub,TS_ortho_adduct_sub,C1=C[CH]C(O)C(CO)=C1+[O][O]+->c1c(O)c(CO)ccc1+[O][OH]++,/TS_ortho_adduct_sub,/TS_ortho_adduct_sub,
TS_ortho_adduct_O2_add_anti,TS_ortho_adduct_O2_add_anti,C1=C[CH]C(O)C(CO)=C1+[O][O]+->C1=CC(O[O])C(O)C(CO)=C1+++,/TS_ortho_adduct_O2_add_anti,/TS_ortho_adduct_O2_add_anti,
