name,Calc,Smiles,path_l_geom,path_l_freq,notes
benzene_OH_adduct,benzene_OH_adduct,C1(O)C=CC=C[CH]1,/benzene_OH_adduct,/benzene_OH_adduct,
phenol,phenol,c1c(O)cccc1,/phenol,/phenol,
hydroxymethyl_rad,hydroxymethyl_rad,[CH2]O,/hydroxymethyl_rad,/hydroxymethyl_rad,
benzyl_alcohol_para_OH_adduct,benzyl_alcohol_para_OH_adduct,C1=C(CO)C=CC(O)[CH]1,/benzyl_alcohol_para_OH_adduct,/benzyl_alcohol_para_OH_adduct,
benzyl_alcohol_para_OH_O2_adduct,benzyl_alcohol_para_OH_O2_adduct,C1=C(CO)C=CC(O)C(O[O])1,/benzyl_alcohol_para_OH_O2_adduct,/benzyl_alcohol_para_OH_O2_adduct,
benzene_OH_O2_adduct_anti,benzene_OH_O2_adduct_anti,[C@H]1(O)C=CC=C[C@H](O[O])1,/benzene_OH_O2_adduct_anti,/benzene_OH_O2_adduct_anti,
BA_substitution_ortho,BA_substitution_ortho,c1c(O)c(CO)ccc1,/BA_substitution_ortho,/BA_substitution_ortho,
BA_substitution_meta,BA_substitution_meta,c1c(O)cc(CO)cc1,/BA_substitution_meta,/BA_substitution_meta,
BA_substitution_para,BA_substitution_para,c1c(O)ccc(CO)c1,/BA_substitution_para,/BA_substitution_para,
BA_ortho_OH_adduct,BA_ortho_OH_adduct,C1=C[CH]C(O)C(CO)=C1,/BA_ortho_OH_adduct,/BA_ortho_OH_adduct,
BA_meta_OH_adduct,BA_meta_OH_adduct,C1[CH]C(O)C=C(CO)C=1,/BA_meta_OH_adduct,/BA_meta_OH_adduct,
BA_ortho_OH_O2_add_anti,BA_ortho_OH_O2_add_anti,C1=CC(O[O])C(O)C(CO)=C1,/BA_ortho_OH_O2_add_anti,/BA_ortho_OH_O2_add_anti,
BA_meta_OH_O2_add_anti,BA_meta_OH_O2_add_anti,C1C(O[O])C(O)C=C(CO)C=1,/BA_meta_OH_O2_add_anti,/BA_meta_OH_O2_add_anti,
